ticker,date,time,title,compound
MSFT,2023-08-14,08:41PM,Steven Cohen's Q2 2023 13F Filing Update: Top Trades and Portfolio Overview,0.2023
MSFT,2023-08-13,01:18PM,Goldman Sachs Tech Stocks: Top 12 Stock Picks,0.2023
MSFT,2023-08-12,12:05PM,Lina Khan: The most feared person in Big Tech is a 34-year-old in DC,-0.5413
MSFT,2023-08-11,05:59PM,12 Undervalued Blue Chip Stocks To Buy According to Wall Street Analysts,0.0
MSFT,2023-08-10,09:57PM,UPDATE 1-Microsoft's role in data breach part of US cyber inquiry -Bloomberg News,0.0
TSLA,2023-08-20,09:00AM,Michael Burrys Top 10 Stock Picks For Q3,0.2023
TSLA,2023-08-19,12:48PM,"Tesla data breach affects 75,735 people, state attorney general announces",0.0
TSLA,2023-08-18,05:17PM,Tesla Stock Went Down Again for a New Reason. Heres Where Its Going.,0.0
TSLA,2023-08-17,11:35PM,Elon Musk Arrives in Japan for First Visit in Nine Years,0.0
TSLA,2023-08-16,08:00PM,EV Maker VinFast Bags Huge Valuation in SPAC-Mania Redux,0.3182
TSLA,2023-08-15,05:39PM,"Homebuilder sentiment falls, VinFast stock pops, Tesla's cheaper models: Top Stories",0.2023
NFLX,2023-08-19,09:15AM,You Don't Have to Pick a Winner in Streaming. Here's Why,0.5859
NFLX,2023-08-18,11:30AM,Why Is Netflix (NFLX) Down 7.9% Since Last Earnings Report?,0.0
NFLX,2023-08-17,07:51PM,Netflix's Top Stories: Cloud Gaming and Stranger Things,0.2023
NFLX,2023-08-16,08:02PM,Netflix has a troubling new problem on its hands,-0.7351
NFLX,2023-08-15,03:11PM,Traditional TV 'past the point of no return' as viewership hits record low,-0.5106
NFLX,2023-08-14,05:12PM,"Netflix's launches video game streaming service beta for Canada, U.K. users",0.0
NFLX,2023-08-13,06:05AM,CEO Bob Iger's 3 Big Gambits Could Spell Trouble for Disney,-0.4019
NFLX,2023-08-12,09:00AM,Hollywood calls time on golden era of cheap streaming,0.0
NFLX,2023-08-11,10:55PM,Hollywood writers to evaluate counterproposal from studios,0.0
NFLX,2023-08-10,05:09PM,NFL to raise prices of streaming packages,0.0
NFLX,2023-08-09,07:38PM,Disney hints at upcoming streaming password sharing crackdown,0.4215
NFLX,2023-08-08,04:20PM,"Paramount earnings: Streamers' growth is 'certainly slowing,' analyst explains",0.6124
NFLX,2023-08-07,04:48PM,"Paramount stock pops on earnings, KKR to buy Simon & Schuster",0.0
NFLX,2023-08-04,05:02PM,3 New Additions to the Zacks Rank Investors Cannot Miss,0.1139
NFLX,2023-08-03,04:10PM,Soundstages Were Already Reeling Before This Summer of Strikes. Now What?,-0.3612
NFLX,2023-08-02,08:23AM,Will Spotify Ever Turn a Profit?,0.4404
NFLX,2023-08-01,09:29AM,"Company News for Aug 1, 2023",0.0
NFLX,2023-07-31,11:14AM,"Netflix Makes a Change to Its Controversial $900,000 Job Posting",-0.2023
NFLX,2023-07-30,11:27AM,"3 Reasons to Buy Roku Stock, and 1 Reason to Sell",0.0
NFLX,2023-07-29,12:58AM,Heres What Makes Netflix (NFLX) a Worthy Investment,0.4404
NFLX,2023-07-28,09:00PM,How Netflixs Algorithms and Tech Feed Its Success,0.5719
NFLX,2023-07-27,10:46PM,RPT-Disney's Hotstar India streaming service plans to limit account sharing -sources,0.4215
META,2023-08-20,02:55PM,Americas Tech Giants Rush to Comply With New Curbs in Europe,0.0
META,2023-08-19,11:47AM,Its Not Too Late: Heres How to Get In on the $725 Million Facebook Settlement.,0.0
META,2023-08-18,06:15PM,Facebook delivers a hard-nosed warning to its workers,-0.34
META,2023-08-16,10:30AM,Nvidia's earnings will be the AI hype cycles biggest test,0.0
META,2023-08-15,07:58PM,"Musk's X delays access to content on Reuters, NY Times, social media rivals",0.0
META,2023-08-14,06:32PM,Biographer Walter Isaacson Discusses Elon Musk's Leadership Style and Role Model,0.0
META,2023-08-13,03:55PM,25 Countries with Most Instagram Users in 2023,0.0
META,2023-08-12,12:05PM,Lina Khan: The most feared person in Big Tech is a 34-year-old in DC,-0.5413
META,2023-08-11,03:56PM,Musk vs. Zuckerberg: Tech CEOs post updates on likelihood of a fight,-0.3818
META,2023-08-10,06:57PM,The Chan Zuckerberg Initiative Lays Off Dozens Amid Meta's Cost-Cutting Push,0.0
META,2023-08-09,04:32PM,Is Aptos the New Way to Play the AI Boom?,0.34
META,2023-08-08,05:33PM,"Zoom, Other Remote-Work Champions Call Employees Back to the Office",0.5267
META,2023-08-07,05:43PM,Palantir announces $1B buyback program as Q2 earnings meet expectations,0.0
GME,2023-08-18,06:21AM,"Meme stocks ride on, though investors more cautious than GameStop era",-0.1761
GME,2023-08-17,02:36PM,"'Another Meme Bites The Dust': After AMC's Crash, Bond King Bill Gross Warns That GameStop Is Next  Here's His Best Value Stock Pick",0.1027
GME,2023-08-15,02:19PM,"GameStop (GME) Loses -12.53% in 4 Weeks, Here's Why a Trend Reversal May be Around the Corner",-0.3182
GME,2023-08-14,10:47PM,"James Surowiecki Joins Us to Talk About Crypto, Meme Stocks, and Movies",0.0
GME,2023-08-08,09:00AM,This Fellow Has No Interest in Yellow or Any Other Meme Stock,0.2023
GME,2023-08-02,05:03PM,GameStop to End Support of Its Crypto Wallet,0.4019
GME,2023-08-01,04:59PM,"GameStops quest for relevancefollowing meme-stock madnesswont include crypto wallets, which its ending amid regulatory uncertainty",-0.34
GME,2023-07-28,06:31AM,Intel Earnings Show the AI Boom Isnt Everything. Why Thats Good for Apple.,0.4404
GME,2023-07-27,04:30PM,GameStop CFO to quit in second top executive exit in two months,0.2023
GME,2023-07-21,03:59PM,Meta Materials Exposes the Dangers of Meme Stock Investing,-0.5719
GME,2023-07-20,07:45AM,Passport King Builds Quant Trading Fortune,0.0
GME,2023-07-17,05:00AM,"The Zacks Analyst Blog Highlights BJ's Restaurants, Salesforce, Alphabet, Tesla and GameStop",0.0
GME,2023-07-16,12:29PM,7 Doomed Meme Stocks Destined for Disaster,-0.8519
GME,2023-07-14,01:19PM,Caution! Dont Get Greedy With These 3 Growth Stocks.,0.5932
